name,value
total_hours_slept,7.45 (1.00)
start_time_from_midnight,23.55 (1.34)
end_time_from_midnight,31.21 (1.24)
time_in_bed,7.66 (1.22)
wake_time,0.21 (0.69)
sleep_efficiency,0.99 (0.034)
num_interruptions,0.12 (0.18)
