gender,frequency,num,portion,percentage
F,CM,81,0.01578332034294622,1.6%
F,HFEM,326,0.06352299298519096,6.4%
F,LFEM,1053,0.20518316445830087,20.5%
F,VLFEM,3672,0.7155105222135619,71.6%
M,CM,23,0.021120293847566574,2.1%
M,HFEM,91,0.08356290174471992,8.4%
M,LFEM,247,0.22681359044995408,22.7%
M,VLFEM,728,0.6685032139577594,66.9%
Unknown,CM,39,0.011562407352505188,1.2%
Unknown,HFEM,135,0.040023717758671806,4.0%
Unknown,LFEM,568,0.16839608656981916,16.8%
Unknown,VLFEM,2631,0.7800177883190038,78.0%
