name,F,M,Unknown
painintensity,5.42 (1.58),4.89 (1.77),5.13 (1.63)
attack_duration,19.18 (15.24),14.76 (13.16),17.71 (14.65)
total_pain,111.82 (103.43),80.24 (87.41),98.26 (94.78)
migraine_start_time_from_midnight,11.95 (3.24),11.52 (3.27),12.13 (3.35)
migraine_end_time_from_midnight,31.13 (15.47),26.28 (13.33),29.84 (14.85)
attacks,18.75 (19.63),21.65 (21.88),16.05 (18.06)
trigger_menstruation,0.26 (0.29),0.0012 (0.019),0.24 (0.28)
attacks_per_month,2.68 (2.80),3.09 (3.13),2.29 (2.58)
