name,Older adult,Younger adult,NA
total_hours_slept,7.46 (1.04),7.53 (0.95),7.43 (1.00)
start_time_from_midnight,23.40 (1.42),23.75 (1.41),23.55 (1.29)
end_time_from_midnight,31.10 (1.27),31.54 (1.23),31.17 (1.22)
time_in_bed,7.71 (1.28),7.79 (1.27),7.62 (1.18)
wake_time,0.25 (0.76),0.26 (0.78),0.19 (0.64)
sleep_efficiency,0.98 (0.038),0.98 (0.037),0.99 (0.032)
num_interruptions,0.13 (0.20),0.13 (0.18),0.12 (0.18)
