name,F,M,Unknown
total_hours_slept,7.55 (1.00),7.36 (0.96),7.34 (1.01)
start_time_from_midnight,23.50 (1.38),23.62 (1.35),23.60 (1.27)
end_time_from_midnight,31.28 (1.25),31.15 (1.31),31.13 (1.19)
time_in_bed,7.78 (1.25),7.53 (1.10),7.54 (1.18)
wake_time,0.23 (0.75),0.17 (0.51),0.19 (0.63)
sleep_efficiency,0.99 (0.036),0.99 (0.028),0.99 (0.032)
num_interruptions,0.12 (0.19),0.097 (0.17),0.13 (0.17)
